GameTitle,ReleaseYear,Genre,Developer,Platform,HoursPlayed,MetacriticScore,ImageFile
Call of Duty: Black Ops II,2012,FPS,Treyarch,PC,420,83,CallofDutyBlackOpsII.jpg
Halo 4,2012,FPS,343 Industries,Xbox,155,87,Halo4.jpg
Far Cry 3,2012,Action,Ubisoft,PC,88,91,FarCry3.jpg
Grand Theft Auto V,2013,Action,Rockstar,PC,510,97,GTAV.jpg
The Last of Us,2013,Action,Naughty Dog,PlayStation,95,95,TheLastofUs.jpg
Battlefield 4,2013,FPS,DICE,PC,176,81,Battlefield4.jpg
Fortnite,2017,Battle Royale,Epic Games,PC,925,0,Fortnite.jpg
Elden Ring,2022,RPG,FromSoftware,PC,310,96,EldenRing.jpg
Spider-Man 2,2023,Action,Insomniac,PlayStation,44,90,SipderMan2.jpg
Marvel Rivals,2025,Hero Shooter,NetEase,PC,187,0,MarvelRivals.jpg

